14:00:32:898 [ALWAYS]	GUDE Logging Started
14:00:32:899 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:00:32:900 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:00:32:900 [ERROR]	Initialize resume cache pointer failure
14:00:32:900 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
14:00:32:900 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
14:00:35:665 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
14:00:35:665 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:00:35:665 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:00:35:665 [ERROR]	Initialize resume cache pointer failure
14:00:35:665 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
14:00:35:665 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
